Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Eco Score,Predicted Eco Score
AUDI Q5 Plug-In Hybrid quattro,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVGAT02.0A3P,small SUV,6,25/55,27/61,26,8,Yes,34.666666666666664,34.48547619047616
AUDI Q5 Plug-In Hybrid quattro,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,SVGAT02.0A3P,small SUV,6,25/55,27/61,26,8,Yes,34.666666666666664,34.48547619047616
AUDI Q6 e-tron quattro,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0B6B,standard SUV,10,102,89,95,10,Elite,95.0,95.0
AUDI Q6 e-tron quattro,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0B6B,standard SUV,10,105,93,99,10,Elite,99.0,99.0
AUDI Q6 e-tron quattro,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0B6B,standard SUV,10,102,89,95,10,Elite,95.0,95.0
AUDI Q6 e-tron quattro,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0B6B,standard SUV,10,105,93,99,10,Elite,99.0,99.0
AUDI Q8 Sportback e-tron quattro,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZE,standard SUV,10,73,75,74,10,Elite,74.0,74.0
AUDI Q8 Sportback e-tron quattro,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZE,standard SUV,10,77,80,78,10,Elite,78.0,78.0
AUDI Q8 Sportback e-tron quattro,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0AZE,standard SUV,10,73,75,74,10,Elite,74.0,74.0
AUDI Q8 Sportback e-tron quattro,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0AZE,standard SUV,10,77,80,78,10,Elite,78.0,78.0
AUDI Q8 e-tron quattro,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZE,standard SUV,10,73,75,74,10,Elite,74.0,74.0
AUDI Q8 e-tron quattro,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZE,standard SUV,10,77,80,78,10,Elite,78.0,78.0
AUDI Q8 e-tron quattro,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0AZE,standard SUV,10,73,75,74,10,Elite,74.0,74.0
AUDI Q8 e-tron quattro,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0AZE,standard SUV,10,77,80,78,10,Elite,78.0,78.0
AUDI SQ6 e-tron,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0B6B,standard SUV,10,96,82,89,10,Elite,89.0,89.0
AUDI SQ6 e-tron,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0B6B,standard SUV,10,96,82,89,10,Elite,89.0,89.0
AUDI SQ8 Sportback e-tron (20 in. wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZS,standard SUV,10,68,72,70,10,Elite,70.0,70.0
AUDI SQ8 Sportback e-tron (20 in. wheels),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0AZS,standard SUV,10,68,72,70,10,Elite,70.0,70.0
AUDI SQ8 Sportback e-tron (21/22 in. wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZS,standard SUV,10,59,60,60,10,Elite,60.0,60.38285714285715
AUDI SQ8 Sportback e-tron (21/22 in. wheels),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0AZS,standard SUV,10,59,60,60,10,Elite,60.0,60.38285714285715
AUDI SQ8 e-tron (20 in. wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZS,standard SUV,10,68,72,70,10,Elite,70.0,70.0
