Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
AUDI A7,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,CA,midsize car,7,26/64,34/74,29/68,10,Yes
AUDI A7,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,FA,midsize car,7,26/64,34/74,29/68,10,Yes
AUDI Q5,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,CA,small SUV,7,25/43,29/64,27/50,10,Yes
AUDI Q5,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,FA,small SUV,7,25/43,29/64,27/50,10,Yes
AUDI e-tron,,,Auto-1,4WD,Electricity,FA,standard SUV,10,78,77,78,10,Elite
AUDI e-tron,,,Auto-1,4WD,Electricity,CA,standard SUV,10,78,77,78,10,Elite
AUDI e-tron Sportback,,,Auto-1,4WD,Electricity,FA,standard SUV,10,76,78,77,10,Elite
AUDI e-tron Sportback,,,Auto-1,4WD,Electricity,CA,standard SUV,10,76,78,77,10,Elite
BMW 330e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,CA,small car,7,25/72,33/80,28/75,10,Yes
BMW 330e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,FA,small car,7,25/72,33/80,28/75,10,Yes
BMW 330e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,small car,7,22/64,30/71,25/67,9,Yes
BMW 330e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,small car,7,22/64,30/71,25/67,9,Yes
BMW 530e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,CA,small car,7,24/59,29/72,26/64,9,Yes
BMW 530e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,FA,small car,7,24/59,29/72,26/64,9,Yes
BMW 530e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,small car,7,22/59,28/67,25/62,9,Yes
BMW 530e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,small car,7,22/59,28/67,25/62,9,Yes
BMW X3 xDrive30e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,small SUV,7,21/59,27/61,24/60,9,Yes
BMW X3 xDrive30e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,small SUV,7,21/59,27/61,24/60,9,Yes
